Region_Type,Region_Name,Region_Name_Code,URL
Cities,IDN.16.343,"Lubuk Linggau, Kota",
Districts,IDN.35.143,"Lumajang, Kab.",
Districts,IDN.73.396,"Luwu Timur, Kab.",
Districts,IDN.73.329,"Luwu Utara, Kab.",
Districts,IDN.73.217,"Luwu, Kab.",
Districts,IDN.35.144,"Madiun, Kab.",
Cities,IDN.35.164,"Madiun, Kota",
Districts,IDN.33.108,"Magelang, Kab.",
Cities,IDN.33.122,"Magelang, Kota",
Districts,IDN.35.145,"Magetan, Kab.",
Districts,IDN.32.82,"Majalengka, Kab.",
Districts,IDN.76.218,"Majene, Kab.",
Cities,IDN.73.232,"Makassar, Kota",
Districts,IDN.35.146,"Malang, Kab.",
Cities,IDN.35.165,"Malang, Kota",
Districts,IDN.64.323,"Malinau, Kab.",
Districts,IDN.81.475,"Maluku Barat Daya, Kab.",
Districts,IDN.81.267,"Maluku Tengah, Kab.",
Districts,IDN.81.331,"Maluku Tenggara Barat, Kab.",
Districts,IDN.81.268,"Maluku Tenggara, Kab.",
Provinces,IDN.82,"Maluku Utara, Prop.",http://dbpedia.org/resource/North_Maluku
Provinces,IDN.81,"Maluku, Prop.",http://dbpedia.org/resource/Maluku_(province)
Districts,IDN.76.367,"Mamasa, Kab.",
Districts,IDN.94.451,"Mamberamo Raya, Kab.",
Districts,IDN.94.460,"Mamberamo Tengah, Kab.",
Districts,IDN.76.397,"Mamuju Utara, Kab.",
Cities,IDN.76.219,"Mamuju, Kota",
Cities,IDN.71.204,"Manado, Kota",
Districts,IDN.12.296,"Mandailing Natal, Kab.",
Districts,IDN.53.399,"Manggarai Barat, Kab.",
Districts,IDN.53.457,"Manggarai Timur, Kab.",
Districts,IDN.53.259,"Manggarai, Kab.",
Districts,IDN.91.274,"Manokwari, Kab.",
Districts,IDN.94.382,"Mappi, Kab.",
Districts,IDN.73.220,"Maros, Kab.",
Cities,IDN.52.253,"Mataram, Kota",
Districts,IDN.91.491,"Maybrat, Kab.",
Cities,IDN.12.23,"Medan, Kota",
Districts,IDN.61.424,"Melawi, Kab.",
Districts,IDN.15.51,"Merangin, Kab.",
Districts,IDN.94.275,"Merauke, Kab.",
Districts,IDN.18.482,"Mesuji, Kab.",
Cities,IDN.18.314,"Metro, Kota",
Districts,IDN.94.335,"Mimika, Kab.",
Districts,IDN.71.395,"Minahasa Selatan, Kab.",
Districts,IDN.71.443,"Minahasa Tenggara (Mitra), Kab.",
Districts,IDN.71.425,"Minahasa Utara, Kab.",
Districts,IDN.71.201,"Minahasa, Kab.",
Districts,IDN.35.147,"Mojokerto, Kab.",
Cities,IDN.35.166,"Mojokerto, Kota",
Districts,IDN.82.486,"Morotai, Kab.",
Districts,IDN.72.327,"Morowali, Kab.",
Districts,IDN.16.55,"Muara Enim, Kab.",
Districts,IDN.15.309,"Muaro Jambi, Kab.",
Districts,IDN.17.391,"Mukomuko, Kab.",
Districts,IDN.74.236,"Muna, Kab.",
Districts,IDN.62.363,"Murung Raya, Kab.",
Districts,IDN.16.56,"Musi Banyuasin, Kab.",
Districts,IDN.16.57,"Musi Rawas, Kab.",
Districts,IDN.94.276,"Nabire, Kab.",
Districts,IDN.11.352,"Nagan Raya, Kab.",
Districts,IDN.53.436,"Nagekeo, Kab.",
Provinces,IDN.11,"Nanggroe Aceh Darussalam, Prop.",http://dbpedia.org/resource/Aceh
Districts,IDN.21.305,"Natuna, Kab.",
